_id,describe,description,tag,tilte,title,url
6276064dba800432f4f5fe0b,"Vehicles, equipment and load carrying areas must be inspected before loading and if necessary, cleaned and dried to remove any applicable residue accumulations or foreign material that may lead to contamination of the grain to be loaded (Record Required): ",,transport,,Standard when loading cargo,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
62760664ba800432f4f5fe0c,The load load shall not exceed the vehicle load standard:,,transport,,Standard when loading cargo,https://www.nhvr.gov.au/files/ghms-0012-gta.pdf
62760758ba800432f4f5fe0d,In the case of vehicle transportation: ,,transport,,Shipping Route Standards,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
62760774ba800432f4f5fe0e,"During transportation, the driver shall not deviate from the planned transportation route: ",,transport,,Shipping Route Standards,https://cdn-s3-nrspp-2020.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/sites/4/2017/03/15112744/Grain-Transport-Code-of-Practice-1-July-2014-FINAL.pdf
62760833ba800432f4f5fe0f,The driver shall use personal protective equipment (PPE) in accordance with hygienic conditions throughout the transportation: ,,transport,,Requirements in the time of COVID-19,https://www.graintrade.org.au/sites/default/files/GTA%20Safety%20Guidelines%20COVID-19.pdf
62760865ba800432f4f5fe10,"During transportation, grains shall not be in contact with the outside unless necessary:",,transport,,Requirements in the time of COVID-19,https://www.graintrade.org.au/sites/default/files/GTA%20Safety%20Guidelines%20COVID-19.pdf
62760979ba800432f4f5fe12,WA Crop Sowing Guide Barley,,transport,,Read More,file:///C:/Users/xenon/Desktop/ITECH%203209/Assessment/Grain%20Supply%20Chain%20Web%20for%20Sprint%203/Transport/2021%20WA%20Crop%20Sowing%20Guide_Barley%20(pgs%2042_89).pdf
62760bb5ba800432f4f5fe13,Australias Grain Supply Chains,,transport,,Read More,file:///C:/Users/xenon/Desktop/ITECH%203209/Assessment/Grain%20Supply%20Chain%20Web%20for%20Sprint%203/Transport/FULL-REPORT-Australias-grain-supply-chains-DIGITAL.pdf
62760bd1ba800432f4f5fe14,Wheat Barley to China,,transport,,Read More,file:///C:/Users/xenon/Desktop/ITECH%203209/Assessment/Grain%20Supply%20Chain%20Web%20for%20Sprint%203/Transport/IMP-Wheat-Barley-to-China-Update-Nov17-FINAL.pdf
62760c43ba800432f4f5fe15,Trade 14 official measures support digitalization,,transport,,Read More,file:///C:/Users/xenon/Desktop/ITECH%203209/Assessment/Grain%20Supply%20Chain%20Web%20for%20Sprint%203/Transport/Notice_to_Trade_14_official_measures_support_digitalization.pdf
62760c56ba800432f4f5fe16,Barley Trading Standards,,transport,,Read More,file:///C:/Users/xenon/Desktop/ITECH%203209/Assessment/Grain%20Supply%20Chain%20Web%20for%20Sprint%203/Transport/Section%2002%20-%20Barley%20Trading%20Standards%20202122.pdf
62760c73ba800432f4f5fe18,Transportation of the Australian Wheat Harvest,,transport,,Read More,file:///C:/Users/xenon/Desktop/ITECH%203209/Assessment/Grain%20Supply%20Chain%20Web%20for%20Sprint%203/Transport/Transportation%20of%20the%20Australian%20Wheat%20Harvest.pdf
6274c6572c953da95ed62a32,Ensure grain growers are well represented and set a progressive agenda to influence government and industry decision-making.,,Farming,,Policy & Industry Issues,https://www.graingrowers.com.au/policy
6274c7132c953da95ed62a34,The principles and aims of agricultural policy are listed.,,Farming,AGRICULTURE POLICY,,https://greens.org.au/vic/policies/agriculture-policy
6274c8572c953da95ed62a36,The framework is used to develop well researched and responsible policy to protect and promote Australian grain producers.,,Fariming,,Policy Development Framework,https://www.grainproducers.com.au/_files/ugd/f4375f_01152986940846fba83609b961e53378.pdf
6274c9392c953da95ed62a37,Examine the benefits of biotechnology and its potential contribution to innovation in the Australian agricultural sector,,Farming,,Biotechnology and agriculture in Australia: policy snapshot,https://www.awe.gov.au/sites/default/files/sitecollectiondocuments/ag-food/biotech/biotech-aus-policy-snapshot.pdf
6274ca792c953da95ed62a38,"Agricultural policy research papers cover macro scene, micro scene, farm costs and returns, marketing, extension and research.",,Fariming,,AGRICULTURAL POLICY IN AUSTRALIA,https://www.pir.sa.gov.au/__data/assets/pdf_file/0018/314334/McColl_-_speech_Agricultural_Policy_in_Australia_Aug_85.pdf
6274cb972c953da95ed62a39,Through the form of Q&A gives a hign level overview of agricultural law.,,Farming,,Agricultural law in Australia,https://uk.practicallaw.thomsonreuters.com/1-608-5865?transitionType=Default&contextData=(sc.Default)&firstPage=true
6274cca92c953da95ed62a3a,Setting coarse grain standards (except wheat) in Western Australia,,Farming,,Grain Standards in Western Australia,https://www.giwa.org.au/industry-hub/grain-standards/
6274cd872c953da95ed62a3b,A list of commonly used industry grain standards and specifications,,Farming,,Grain Standards,https://www.agracom.com.au/forms/grain-standards
6274ce162c953da95ed62a3c,The barley standards from GrainCorp.,,Farming,,BARLEY STANDARDS 2021-2022,https://grains.graincorp.com.au/wp-content/uploads/2021/08/Barley-Standards-2021-2022.pdf
6274cf132c953da95ed62a3d,The wheat standards from GrainCorp.,,Farming,,WHEAT STANDARDS 2021-2022,https://grains.graincorp.com.au/wp-content/uploads/2021/08/Wheat-Standards-2021-2022.pdf
6274cf702c953da95ed62a3e,The oats standards from GrainCorp.,,Fariming,,OATS STANDARDS 2021-2022,https://grains.graincorp.com.au/wp-content/uploads/2021/08/Oats-Standards-2021-2022.pdf
6274cfc32c953da95ed62a3f,The feed maize standards from GrainCorp.,,Farming,,FEED MAIZE STANDARDS 2021-2022,https://grains.graincorp.com.au/wp-content/uploads/2021/08/Feed-Maize-Standards-2021-2022.pdf
6274d0222c953da95ed62a40,"A guide to on-farm biosecurity measures to protect your enterprise against weeds, pests and diseases.",,Farming,,Biosecurity Manual for Grain Producers,https://www.farmbiosecurity.com.au/wp-content/uploads/2019/07/Biosecurity-Manual-for-Grain-Producers.pdf
6274d0fb2c953da95ed62a42,The policy statement from GrainCorp.,,Farming,,Quality Policy Statement,https://grains.graincorp.com.au/wp-content/uploads/2021/02/Quality-Policy-Statement.pdf
627783f52c953da95ed62a43,,"Planning for efficiency and quality, a grains industry guide.",Storage,,GRAIN STORAGE FACILITIES,http://storedgrain.com.au/wp-content/uploads/2013/07/GRDC-GS-FACILITIES-Booklet-2013_Final.pdf
6277877c2c953da95ed62a44,,"Introduction of a cheap but reliable way called pit storage, which can store grain for a long time.",Storage,,Underground storage of grain,https://www.agric.wa.gov.au/barley/underground-storage-grain
6277329240c4e791e74bf336,Exporting plants and plant products: A step-by-step guide for Australian exporters,,export,,Plant Export Step-by-Step Guide,https://www.awe.gov.au/biosecurity-trade/export/controlled-goods/plants-plant-products/exportersguide#step-1-check-what-type-of-goods-you-are-exporting
627733b57c262c7ec7e45c04,Industry Management Plan for Wheat and Barley Exports to China,,export,,The Australian Grain Export Supply Chain,https://www.graincentral.com/wp-content/uploads/2017/12/GIMAF.pdf
627734647c262c7ec7e45c05,"IThere is no single grain supply chain for Australia. Various supply chain options are available in all states, with grain being exported in bulk or containers through 25 port terminals spread around Australia’s coastline. Grain is delivered to each port via road or rail, or their combination",,export,,"Costs, risks and opportunities",https://aegic.org.au/wp-content/uploads/2021/03/FULL-REPORT-Australias-grain-supply-chains-DIGITAL__.pdf
627734cf7c262c7ec7e45c06,which lists a range of material including pests of national concern for the grain industry,,export,,Plant Health Australia,https://www.planthealthaustralia.com.au/
627735057c262c7ec7e45c07,"Main pests, diseases and weeds of significant to the grain industry.",,export,,"Pests, diseases & weeds",https://www.agriculture.gov.au/pests-diseases-weeds
6277355c7c262c7ec7e45c08,Outlines all requirements for the import of grain and grain products,,export,,Importing Grain,https://www.agriculture.gov.au/import/goods/plant-products/stockfeed-supplements#bulk-grains
627735a87c262c7ec7e45c09,Mandatory Code of Conduct for Grain Export Terminals,,export,,Regulation Impact Statement,https://www.awe.gov.au/sites/default/files/sitecollectiondocuments/ag-food/crops/wheat/ris.pdf
627735e07c262c7ec7e45c0a,Bulk wheat port terminals are essential infrastructure in the export wheat supply chain.,,export,,Review of the wheat port access code of conduct,https://www.awe.gov.au/sites/default/files/sitecollectiondocuments/ag-food/crops/wheat/review-wheat-port-access-code-conduct-report.pdf
